id|id_raw|constante|constante_raw|prescription_en_clair|prescription_en_clair_raw|type|type_raw|sources|sources_raw|modifications|modifications_raw|contexte|contexte_raw|objectif|objectif_raw|descriptif|descriptif_raw|genese|genese_raw
7|7|RDV_STRATEGIE_30_MINUTES_POUR_LE_DEMON|RDV_STRATEGIE_30_MINUTES_POUR_LE_DEMON|30 minutes pour le démon|30 minutes pour le démon|Prescription|prescription|nan|nan|nan|nan|conflit, famille, parents, enfantsA faire tous les joursPour les enfants et surtout pour les parents qui n'arrivent pas à gérer leur enfant|conflit, famille, parents, enfantsA faire tous les joursPour les enfants et surtout pour les parents qui n'arrivent pas à gérer leur enfant|nan|nan|Les parents demandent à l'enfant qui est insupportable d'obéïr à la consigne : tu dois désobéïr et être difficile pendant les prochaines 30 mn|Les parents demandent à l'enfant qui est insupportable d'obéïr à la consigne : tu dois désobéïr et être difficile pendant les prochaines 30 mn|nan|nan
11|11|RDV_STRATEGIE_ALLER_JUSQU_AU_POINT_OU_L_ANGOISSE|RDV_STRATEGIE_ALLER_JUSQU_AU_POINT_OU_L_ANGOISSE|Aller jusqu'au point ou l' angoisse devient trop forte ( peur )|Aller jusqu'au point ou l' angoisse devient trop forte ( peur )|Prescription|prescription|nan|nan|nan|nan|Cette tâche, utilisée pour contrer des stratégies d’évitement systématique, est utile pour amener le patient à affronter progressivement ce qu’il évitait systématiquement.Peur, évitement, phobie|Cette tâche, utilisée pour contrer des stratégies d’évitement systématique, est utile pour amener le patient à affronter progressivement ce qu’il évitait systématiquement.Peur, évitement, phobie|nan|nan|Par exemple, jusqu’où le patient pourra-il aller après avoir ouvert la porte de chez lui ? Inévitablement, le patient découvre une sorte de zone tampon, une limite floue qui permet alors d’effectuer un premier petit pas vers une approche plus directe du problème. On peut alors demander au patient de répéter l’opération tous les jours et de dessiner une sorte de carte du territoire gagné au jour le jour.|Par exemple, jusqu’où le patient pourra-il aller après avoir ouvert la porte de chez lui ? Inévitablement, le patient découvre une sorte de zone tampon, une limite floue qui permet alors d’effectuer un premier petit pas vers une approche plus directe du problème. On peut alors demander au patient de répéter l’opération tous les jours et de dessiner une sorte de carte du territoire gagné au jour le jour.|nan|nan
12|12|RDV_STRATEGIE_ALLER_LENTEMENT|RDV_STRATEGIE_ALLER_LENTEMENT|Aller lentement|Aller lentement|Prescription|prescription|Sur l'interactionet Tactiques de changement Fish&al p197|Sur l'interactionet Tactiques de changement Fish&al p197|nan|nan|"(remarque: tache aussi appellée : avancer lentement) agoraphobie / deuil / harcèlement / hypocondrie / isolement / panique / paranoia / performance / phobie / relation à l'autre / procrastination / violence agressivité / troubles dépressifsNous encourageons de façon presque routinière les patients à aller lentement au début du traitement ; plus tard, nous prenons un regard inquiet, déclarant ""Je crois que les choses vont un peu trop vite"" lorsqu'un patient nous dit qu'il est en progrès. Nous usons aussi de cette technique, plus implicitement, en mettant l'accent sur des buts plus limités, ou en signalant aux patients les désavantages possibles de l'amélioration : ""Vous voudriez obtenir de meilleurs résultats dans votre travail, mais êtes-vous prêt à faire face à la jalousie de vos collègues ?"". Ce type d'avertissement favorise paradoxalement une amélioration rapide, sans doute parce qu'il réduit lorsque l'angoisse que le patient éprouve devant le changement et augmente son désir d'entreprendre ce qui peut contrecarrer l'apparente prudence excessive du thérapeute. Selon le même principe, quand un patient montre qu'il fait des progrès étonnamment rapides ou spectaculaires, nous prescrivons parfois une rechute, après avoir parlé du changement, en arguant du fait que cela va augmenter encore le contrôle du patient : ""Maintenant vous êtes arrivé à éliminer le symptôme. Si vous pouvez vous arranger pour le faire revenir la semaine prochaine, vous serez parvenu à mieux le contrôler."" Voir les dangers de l'amélioration."|"(remarque: tache aussi appellée : avancer lentement) agoraphobie / deuil / harcèlement / hypocondrie / isolement / panique / paranoia / performance / phobie / relation à l'autre / procrastination / violence agressivité / troubles dépressifsNous encourageons de façon presque routinière les patients à aller lentement au début du traitement ; plus tard, nous prenons un regard inquiet, déclarant ""Je crois que les choses vont un peu trop vite"" lorsqu'un patient nous dit qu'il est en progrès. Nous usons aussi de cette technique, plus implicitement, en mettant l'accent sur des buts plus limités, ou en signalant aux patients les désavantages possibles de l'amélioration : ""Vous voudriez obtenir de meilleurs résultats dans votre travail, mais êtes-vous prêt à faire face à la jalousie de vos collègues ?"". Ce type d'avertissement favorise paradoxalement une amélioration rapide, sans doute parce qu'il réduit lorsque l'angoisse que le patient éprouve devant le changement et augmente son désir d'entreprendre ce qui peut contrecarrer l'apparente prudence excessive du thérapeute. Selon le même principe, quand un patient montre qu'il fait des progrès étonnamment rapides ou spectaculaires, nous prescrivons parfois une rechute, après avoir parlé du changement, en arguant du fait que cela va augmenter encore le contrôle du patient : ""Maintenant vous êtes arrivé à éliminer le symptôme. Si vous pouvez vous arranger pour le faire revenir la semaine prochaine, vous serez parvenu à mieux le contrôler."" Voir les dangers de l'amélioration."|"Cette injonction fonctionnent très bien quand une des tentatives de solution est ""essayer trop fort"", ou encore quand le client presse le thérapeute d'apporter très vite un remède à leurs difficultés tout en restant passif, ou en ne coopérant pas. L'injonction à donner dès la première séance. Le client qui, jusque-là, a essayé trop fort de résoudre son problème est plus susceptible de relâcher ses efforts dont le seul effet était d'entretenir le problème, s'il entend dire que la solution de son problème dépend de sa capacité à avancer lentement."|"Cette injonction fonctionnent très bien quand une des tentatives de solution est ""essayer trop fort"", ou encore quand le client presse le thérapeute d'apporter très vite un remède à leurs difficultés tout en restant passif, ou en ne coopérant pas. L'injonction à donner dès la première séance. Le client qui, jusque-là, a essayé trop fort de résoudre son problème est plus susceptible de relâcher ses efforts dont le seul effet était d'entretenir le problème, s'il entend dire que la solution de son problème dépend de sa capacité à avancer lentement."|"Exemples de recadrage :Je crois que les choses vont un peu trop viteIl serait important, que cette semaine, vous ne fassiez rien entraîne une nouvelle améliorationMême dans le meilleur des cas, tout changement requiert un temps d'adaptationVous sentirirez peut-être bien mieux avec avec 75% d'amélioration qu'avec 100%Un changement lent et progressif est plus solide qu'un changement trop soudainExemple 1 : fin de première séance. le client se sent déprimé.Je veux aussi vous parler d'autre chose. Ce que je comprends, à partir ce que vous nous avez décrit, c'est que vous avez eu un certain nombre de coups durs. Je sais bien que vous parlez d'évenements réels, qui se sont réellement passés, mais on peut aussi voir cela sous l'angle psychologique. Tous ces coups durs psychologiques ont été pour vous inattendus, brutaux et sont tous arrivés en même temps. Vous avez perdu votre emploi, cette relation est cuite, votre amie vous quitte, vous avez perdu vos amis, et tout cela vous perturbe complètememt. Vous laissez en plan ce que vous avez à faire et n'êtes pas satisfait de vous même. Quand on pense à tout ce vous est arrivé, on est surpris que vous n'alliez pas plus mal. J'ai l'impression que vous sous-estimiez le temps de récupération. Bien que cela ne soit pas agréable, rien ne se fait qui ne prenne du temps. Si vous aviez été renversé par une voiture, vous ne pourriez recouvrer la santé, vous rétablir qu'au bout d'un ceratin temps de convalescence... Par conséquent vous devez avant tout ne pas vous en faire, avancer vraiment lentement et ne pas essayer de tout résoudre immédiatement. Cette semaine, retenez-vous, n'en faites que très peu. Vous avez besoin de temps pour vous rétablir. Exemple 2 : Un client déprimé revient pour une deuxième séance en disant qu'il se sent moins déprimé.Je suis heureux d'apprendre que, cette semaine, vous avez pu mener à bien certaines affaires, et que vous vous sentez moins déprimé. Nous avons pourtant fondamentalement l'impression que vous êtes en train de bouger trop vite, alors que,pour vous, justement, l'important, c'est de ralentir. C'est précisemment là qu'est le plus grand piège, pour quelqu'un qui a votre genre de problème : vous risquez d'avancer trop vite. Il est compréhensible que vous vouliez vous en sortir dès maintenant, le plus vite possible : en effet vous ne vous sentiez pas bien. Mais c'est bien là le piège, les sables mouvants, et, concernant ce problème de ralentissement, j'aurais un certain nombre de remarque à vous faire. Tout d'abord, vous êtes encore déprimé,vous n'êtes pas encore sorti de l'auberge et, par conséquent, un des pièges qu'il vous faut éviter, c'est de vous croire trop tôt tirer d'affaire. Comme nous vous l'avons déjà dit la semaine dernière, il vous vous est arrivé beaucoup de choses, et vous avez besoin d'un certain temps pour vous en remettre. C'est l'une des raisons pour lesquelles il vous faut avancer lentement. Ensuite, vous êtes en ce moment confronté à des problèmes complexes - des problèmes professionnels, relationnels, de déménagement - et pour l'instant, vous ne savez pas très bien où vous en êtes. Il serait donc dangereux pour vous de faire quoi que ce soit avant d'avoir tiré tout cela au clair. Même si l'on a toujours tendance à faire quelque chose. Troisièmemt, un ceratin nombre de mes collègues ont le sentiment que vous êtes plutôt du genre à analyser, à peser soigneusement le pour et le contre avant de bouger. Or, en cemeoment, vous pouvez très bien vous casser la figure. Quand une situation n'est pas claire, il faut, avant de faire auoi que ce soit, attende qu'elle s'éclaircisse. Bien sûr, c'est difficile, et vous allez me dire : ""je veux agir"". Si cela vous travaille vraiment, l'un de mes collègues suggère que vous fassiez quelque chose qui n'ait absolument aucun rapport avec les problemes que vous devez résoudre."|"Exemples de recadrage :Je crois que les choses vont un peu trop viteIl serait important, que cette semaine, vous ne fassiez rien entraîne une nouvelle améliorationMême dans le meilleur des cas, tout changement requiert un temps d'adaptationVous sentirirez peut-être bien mieux avec avec 75% d'amélioration qu'avec 100%Un changement lent et progressif est plus solide qu'un changement trop soudainExemple 1 : fin de première séance. le client se sent déprimé.Je veux aussi vous parler d'autre chose. Ce que je comprends, à partir ce que vous nous avez décrit, c'est que vous avez eu un certain nombre de coups durs. Je sais bien que vous parlez d'évenements réels, qui se sont réellement passés, mais on peut aussi voir cela sous l'angle psychologique. Tous ces coups durs psychologiques ont été pour vous inattendus, brutaux et sont tous arrivés en même temps. Vous avez perdu votre emploi, cette relation est cuite, votre amie vous quitte, vous avez perdu vos amis, et tout cela vous perturbe complètememt. Vous laissez en plan ce que vous avez à faire et n'êtes pas satisfait de vous même. Quand on pense à tout ce vous est arrivé, on est surpris que vous n'alliez pas plus mal. J'ai l'impression que vous sous-estimiez le temps de récupération. Bien que cela ne soit pas agréable, rien ne se fait qui ne prenne du temps. Si vous aviez été renversé par une voiture, vous ne pourriez recouvrer la santé, vous rétablir qu'au bout d'un ceratin temps de convalescence... Par conséquent vous devez avant tout ne pas vous en faire, avancer vraiment lentement et ne pas essayer de tout résoudre immédiatement. Cette semaine, retenez-vous, n'en faites que très peu. Vous avez besoin de temps pour vous rétablir. Exemple 2 : Un client déprimé revient pour une deuxième séance en disant qu'il se sent moins déprimé.Je suis heureux d'apprendre que, cette semaine, vous avez pu mener à bien certaines affaires, et que vous vous sentez moins déprimé. Nous avons pourtant fondamentalement l'impression que vous êtes en train de bouger trop vite, alors que,pour vous, justement, l'important, c'est de ralentir. C'est précisemment là qu'est le plus grand piège, pour quelqu'un qui a votre genre de problème : vous risquez d'avancer trop vite. Il est compréhensible que vous vouliez vous en sortir dès maintenant, le plus vite possible : en effet vous ne vous sentiez pas bien. Mais c'est bien là le piège, les sables mouvants, et, concernant ce problème de ralentissement, j'aurais un certain nombre de remarque à vous faire. Tout d'abord, vous êtes encore déprimé,vous n'êtes pas encore sorti de l'auberge et, par conséquent, un des pièges qu'il vous faut éviter, c'est de vous croire trop tôt tirer d'affaire. Comme nous vous l'avons déjà dit la semaine dernière, il vous vous est arrivé beaucoup de choses, et vous avez besoin d'un certain temps pour vous en remettre. C'est l'une des raisons pour lesquelles il vous faut avancer lentement. Ensuite, vous êtes en ce moment confronté à des problèmes complexes - des problèmes professionnels, relationnels, de déménagement - et pour l'instant, vous ne savez pas très bien où vous en êtes. Il serait donc dangereux pour vous de faire quoi que ce soit avant d'avoir tiré tout cela au clair. Même si l'on a toujours tendance à faire quelque chose. Troisièmemt, un ceratin nombre de mes collègues ont le sentiment que vous êtes plutôt du genre à analyser, à peser soigneusement le pour et le contre avant de bouger. Or, en cemeoment, vous pouvez très bien vous casser la figure. Quand une situation n'est pas claire, il faut, avant de faire auoi que ce soit, attende qu'elle s'éclaircisse. Bien sûr, c'est difficile, et vous allez me dire : ""je veux agir"". Si cela vous travaille vraiment, l'un de mes collègues suggère que vous fassiez quelque chose qui n'ait absolument aucun rapport avec les problemes que vous devez résoudre."|nan|nan
13|13|RDV_STRATEGIE_ALTERATION_RYTME_CARDIAQUE|RDV_STRATEGIE_ALTERATION_RYTME_CARDIAQUE|Altération volontaire du rythme cardiaque ( infarctus )|Altération volontaire du rythme cardiaque ( infarctus )|Prescription|prescription|nan|nan|nan|nan|Pour les gens qui ont peur de faire un infarctus|Pour les gens qui ont peur de faire un infarctus|Saturer. Comme un check-up spécifique au rythme cardiaque.|Saturer. Comme un check-up spécifique au rythme cardiaque.|Pendant 1 mn vous allez contrôler votre pouls.Puis 1 mn où vous ne faites rien. Puis à nouveau 1 mn de contrôle pour vérifier si il y a une différence.|Pendant 1 mn vous allez contrôler votre pouls.Puis 1 mn où vous ne faites rien. Puis à nouveau 1 mn de contrôle pour vérifier si il y a une différence.|nan|nan
16|16|RDV_STRATEGIE_ANALYSE_EN_PROFONDEUR|RDV_STRATEGIE_ANALYSE_EN_PROFONDEUR|Analyse en profondeur ( simple phobie / mono- phobie)|Analyse en profondeur ( simple phobie / mono- phobie)|Prescription|prescription|Tactiques de changement page 174|Tactiques de changement page 174|nan|nan|Simple phobie, mono-phobie peur|Simple phobie, mono-phobie peur|nan|nan|Exemple pour une phobie de la conduite:Bien que vous disiez vous préoccuper trop des dangers de la conduite,il me semble que vous les avez traités bien légèremet. Si vous voulez résoudre votre problème,il faut que vous commenciez par vous sensiniliser davantage aux dangers qu'entraine le fait de conduire. Pour vous mettre dans l'état d'esprit qui convient, je veux que vous y pensiez tout en étant assis dans votre voiture arrêtée. Vous ne devrez sous aucun prétexte, laisser votre esprit dévier vers les plaisirs qu'il peut y a avoir à conduire ou à faire de la route. Je pense qu'il faidrait que vous vous consacriez à cet exercice 1/2 heure par jour.|Exemple pour une phobie de la conduite:Bien que vous disiez vous préoccuper trop des dangers de la conduite,il me semble que vous les avez traités bien légèremet. Si vous voulez résoudre votre problème,il faut que vous commenciez par vous sensiniliser davantage aux dangers qu'entraine le fait de conduire. Pour vous mettre dans l'état d'esprit qui convient, je veux que vous y pensiez tout en étant assis dans votre voiture arrêtée. Vous ne devrez sous aucun prétexte, laisser votre esprit dévier vers les plaisirs qu'il peut y a avoir à conduire ou à faire de la route. Je pense qu'il faidrait que vous vous consacriez à cet exercice 1/2 heure par jour.|MRI|MRI
65|65|RDV_STRATEGIE_DIRE_NON|RDV_STRATEGIE_DIRE_NON|"Apprendre à dire non / 3 façons de dire ""non"" par G Nardone ( limite )"|"Apprendre à dire non / 3 façons de dire ""non"" par G Nardone ( limite )"|Prescription|prescription|nan|nan|nan|nan|"entreprise, peur de dire non.Prenons l’exemple d’une comptable qui passe du temps à répondre à ses collègues sur des points techniques alors que son responsable attend d’elle un travail plus stratégique. Il y aura inévitablement à un moment ou à un autre conflit et remise à plat.Un deuxième risque peut confiner à ce que l'on appelle ""la prostitution relationnelle"" : Si l’on dit oui à tout, on va être apprécié pour ce que l’on fait et non pour ce que l’on est."|"entreprise, peur de dire non.Prenons l’exemple d’une comptable qui passe du temps à répondre à ses collègues sur des points techniques alors que son responsable attend d’elle un travail plus stratégique. Il y aura inévitablement à un moment ou à un autre conflit et remise à plat.Un deuxième risque peut confiner à ce que l'on appelle ""la prostitution relationnelle"" : Si l’on dit oui à tout, on va être apprécié pour ce que l’on fait et non pour ce que l’on est."|Apprendre à dire non en conservant la relation.Pour savoir dire non dans la sphère professionnelle, il faut d’abord connaître précisément les périmètres de responsabilités.Et un premier écueil peut se présenter si le salarié et son responsable ne sont pas tout à fait d’accord sur ces perimètres.Exemple : Une mère de famille qui donne tout à son fils depuis son enfance peut s’entendre dire lorsque celui-ci devient adolescent “mais je ne t’ai jamais rien demandé”. Pour éviter de tomber dans le piège de la prostitution relationnelle, il faut apprendre à dire non.|Apprendre à dire non en conservant la relation.Pour savoir dire non dans la sphère professionnelle, il faut d’abord connaître précisément les périmètres de responsabilités.Et un premier écueil peut se présenter si le salarié et son responsable ne sont pas tout à fait d’accord sur ces perimètres.Exemple : Une mère de famille qui donne tout à son fils depuis son enfance peut s’entendre dire lorsque celui-ci devient adolescent “mais je ne t’ai jamais rien demandé”. Pour éviter de tomber dans le piège de la prostitution relationnelle, il faut apprendre à dire non.|"Il y a trois niveaux pour dire ""non"" :Le non qui en tant qu’expression d’une incapacité à dire oui. “J’aimerais bien vous faire plaisir, mais je ne peux pas faire ce que vous me demandez”. Exprimé de cette façon, le non préserve la relation.Le non qui tient compte des priorités. “Je pourrais le faire mais en ce moment, j’ai d’autres priorités”.Le non qui se positionne un degré au-dessus et signifie clairement “ça ne me convient pas”."|"Il y a trois niveaux pour dire ""non"" :Le non qui en tant qu’expression d’une incapacité à dire oui. “J’aimerais bien vous faire plaisir, mais je ne peux pas faire ce que vous me demandez”. Exprimé de cette façon, le non préserve la relation.Le non qui tient compte des priorités. “Je pourrais le faire mais en ce moment, j’ai d’autres priorités”.Le non qui se positionne un degré au-dessus et signifie clairement “ça ne me convient pas”."|nan|nan
17|17|RDV_STRATEGIE_ARME_SECRETE_DE_LA_DOUCEUR|RDV_STRATEGIE_ARME_SECRETE_DE_LA_DOUCEUR|Arme secrète de la douceur / gentillesse ( colère contrôle troubles psychotiques schizophrénie paranoia )|Arme secrète de la douceur / gentillesse ( colère contrôle troubles psychotiques schizophrénie paranoia )|Prescription|prescription|nan|nan|nan|nan|Pour les situations de paranoïa. Il est préférable de ne pas prescrire l’arme secrète tant que l’on n’a pas fait baisser la colère contre soi ou les autres. Pour avoir cette attitude envers les autres personnes, le patient doit avoir atteint une stabilité qui lui permet de mettre en place cette manœuvre.C’est une arme intéressante pour une personne paranoïaque car elle correspond à son système de pensée. Elle ne se voit pas et lui donne un grand pouvoir pour se défendre. C’est un changement de position que l’on suggère aux patients dans leur façon de rentrer en relation avec les autres.|Pour les situations de paranoïa. Il est préférable de ne pas prescrire l’arme secrète tant que l’on n’a pas fait baisser la colère contre soi ou les autres. Pour avoir cette attitude envers les autres personnes, le patient doit avoir atteint une stabilité qui lui permet de mettre en place cette manœuvre.C’est une arme intéressante pour une personne paranoïaque car elle correspond à son système de pensée. Elle ne se voit pas et lui donne un grand pouvoir pour se défendre. C’est un changement de position que l’on suggère aux patients dans leur façon de rentrer en relation avec les autres.|L’arme secrète est une prescription très Zen, basée sur une vision orientale qui consiste à utiliser la douceur et la gentillesse contre la rigidité. On invite le patient à assumer une position plus douce, plus gentille, plus stratégiquement aimable face aux gens. C’est une tâche difficile à faire passer parce que le parano pense que s’il cède, c’est qu’il est faible. Il va falloir l’amener à penser que l’apparente douceur est en réalité sa vraie force. Comme en Aïkido, où la douceur est utilisée comme point de levier, on utilise la force de l’autre pour la retourner contre lui, on absorbe les coups pour mieux les rendre.|L’arme secrète est une prescription très Zen, basée sur une vision orientale qui consiste à utiliser la douceur et la gentillesse contre la rigidité. On invite le patient à assumer une position plus douce, plus gentille, plus stratégiquement aimable face aux gens. C’est une tâche difficile à faire passer parce que le parano pense que s’il cède, c’est qu’il est faible. Il va falloir l’amener à penser que l’apparente douceur est en réalité sa vraie force. Comme en Aïkido, où la douceur est utilisée comme point de levier, on utilise la force de l’autre pour la retourner contre lui, on absorbe les coups pour mieux les rendre.|"On est par exemple dans un bar avec une personne qui rejette et on lui demande d’être gentille. On leur dit qu’on va utiliser cette arme secrète : « si tu commences à être plus aimable avec les autres, ou que c’est toi qui commence, tu réponds, merci pour cette chose que tu m’indiques, je te demandes de le faire plus souvent, ça me permet de m’améliorer. Ca doit être adapté au contexte de la personne.Il faut beaucoup travailler en fonction de la typologie du patient.On peut la prescrire de manière directe, on peut dire qu’à partir de maintenant commence à aller vers les gentils, commence à utiliser l’arme secrète.On peut la prescrire sous forme de « comme si ». Comment me comporterais-je différemment par rapport à ma manière habituelle, comme si les gens me considéraient à la hauteur. Que ferais-je de différent. Fais-toi cette imagination, tous les jours, tous les matins, mais tous les jours, choisis la plus petite chose et tu la mets en pratique. Tous les jours, une petite chose concrète comme si tu plaisais beaucoup. Et la prochaine fois tu m’amèneras la liste. Les comme si peuvent être très variés, mais ils doivent être orientés vers la construction d’une prophétie positive à travers le stratagème de créer à partir de rien. Avec l’arme secrète on va briser le mécanisme du paranoïaque.On doit toujours se demander comment fonctionne le fait qu’à un moment donné ce patient a éprouvé le besoin de se réfugier dans ce délire. « Comment vois-tu maintenant ce voyage que tu as fait ? Il faut le faire redescendre en planant.ALTERNATIVE SIMPLE : REMERCIER ET SOURIREJe voudrais que, d'ici à la prochaine fois que je vous vois, vous fassiez une expérience. Chaque jour, lorsque vous allez au travail (ou autre) et que vous sentez un de vos collègues (ou autre) qui se moque de vous, vous souriez et le remerciez. C'est une manière élégante de renvoyer l'""offense""."|"On est par exemple dans un bar avec une personne qui rejette et on lui demande d’être gentille. On leur dit qu’on va utiliser cette arme secrète : « si tu commences à être plus aimable avec les autres, ou que c’est toi qui commence, tu réponds, merci pour cette chose que tu m’indiques, je te demandes de le faire plus souvent, ça me permet de m’améliorer. Ca doit être adapté au contexte de la personne.Il faut beaucoup travailler en fonction de la typologie du patient.On peut la prescrire de manière directe, on peut dire qu’à partir de maintenant commence à aller vers les gentils, commence à utiliser l’arme secrète.On peut la prescrire sous forme de « comme si ». Comment me comporterais-je différemment par rapport à ma manière habituelle, comme si les gens me considéraient à la hauteur. Que ferais-je de différent. Fais-toi cette imagination, tous les jours, tous les matins, mais tous les jours, choisis la plus petite chose et tu la mets en pratique. Tous les jours, une petite chose concrète comme si tu plaisais beaucoup. Et la prochaine fois tu m’amèneras la liste. Les comme si peuvent être très variés, mais ils doivent être orientés vers la construction d’une prophétie positive à travers le stratagème de créer à partir de rien. Avec l’arme secrète on va briser le mécanisme du paranoïaque.On doit toujours se demander comment fonctionne le fait qu’à un moment donné ce patient a éprouvé le besoin de se réfugier dans ce délire. « Comment vois-tu maintenant ce voyage que tu as fait ? Il faut le faire redescendre en planant.ALTERNATIVE SIMPLE : REMERCIER ET SOURIREJe voudrais que, d'ici à la prochaine fois que je vous vois, vous fassiez une expérience. Chaque jour, lorsque vous allez au travail (ou autre) et que vous sentez un de vos collègues (ou autre) qui se moque de vous, vous souriez et le remerciez. C'est une manière élégante de renvoyer l'""offense""."|nan|nan
20|20|RDV_STRATEGIE_AUGMENTER_UN_POURCENT|RDV_STRATEGIE_AUGMENTER_UN_POURCENT|Augmenter de 1% ( tout ou rien - perfectionnisme - burn-out - incivilité / érection ... )|Augmenter de 1% ( tout ou rien - perfectionnisme - burn-out - incivilité / érection ... )|Prescription|prescription|nan|nan|nan|nan|Pour les personnes qui voient leur problème comme tout ou rien - perfectionnisme - burn-out - incivilité Egalement pour les erection / ou des gens qui pensent qu'ils doivent complètement s' affirmerExemple : comme j'arrive pas à faire du sport tous les jours je n'en fais pas du tout|Pour les personnes qui voient leur problème comme tout ou rien - perfectionnisme - burn-out - incivilité Egalement pour les erection / ou des gens qui pensent qu'ils doivent complètement s' affirmerExemple : comme j'arrive pas à faire du sport tous les jours je n'en fais pas du tout|nan|nan|Vous savez que le sang afflue dans le pénis donc vous ne pouvez pas ne pas avoir de sang sinon vous auriez la gangrène|Vous savez que le sang afflue dans le pénis donc vous ne pouvez pas ne pas avoir de sang sinon vous auriez la gangrène|Tâche de M Erickson|Tâche de M Erickson
19|19|RDV_STRATEGIE_AUGMENTER_SENSATIONS_DESAGRABLES|RDV_STRATEGIE_AUGMENTER_SENSATIONS_DESAGRABLES|Augmenter les sensations désagréables ( peur trac / par ex si il a le coeur qui s'emballe ou la gorge sèche il doit chercher à augmenter la sensation )|Augmenter les sensations désagréables ( peur trac / par ex si il a le coeur qui s'emballe ou la gorge sèche il doit chercher à augmenter la sensation )|Prescription|prescription|nan|nan|a valider CDS ou TG|a valider CDS ou TG|contexte de peur, de tracLa personne a le coeur qu bat plus vite, la gorge sèche, un tremblement, etc...|contexte de peur, de tracLa personne a le coeur qu bat plus vite, la gorge sèche, un tremblement, etc...|prescrire le symptôme. La personne essaie de contrôler son symptôme. Plus elle cherche à contrôler moins elle contrôle.|prescrire le symptôme. La personne essaie de contrôler son symptôme. Plus elle cherche à contrôler moins elle contrôle.|On demande à la personne d'augmenter le symptôme.Par exemple, dans la cas d'une peur panique, la personne a du mal à respirer. La respiration est saccadée,il y a une sensation d'étouffement. Alors on entraine la personne à reprendre le contrôle. On lui demande d'exagérer la difficulté de la repiration, jusqu'à la bloquer complètement. Un moment, la personne va lacher prise. De manière paradoxale, elle ressent du bien-être en augmentant son symptôme. On lui demande alors de s'entrainer à faire cela. La prochaine fois qu'elle commence à avoir son symptôme, elle devra mettre en place ce stratagème. En général, les symptømes disparaissent très vite.|On demande à la personne d'augmenter le symptôme.Par exemple, dans la cas d'une peur panique, la personne a du mal à respirer. La respiration est saccadée,il y a une sensation d'étouffement. Alors on entraine la personne à reprendre le contrôle. On lui demande d'exagérer la difficulté de la repiration, jusqu'à la bloquer complètement. Un moment, la personne va lacher prise. De manière paradoxale, elle ressent du bien-être en augmentant son symptôme. On lui demande alors de s'entrainer à faire cela. La prochaine fois qu'elle commence à avoir son symptôme, elle devra mettre en place ce stratagème. En général, les symptømes disparaissent très vite.|nan|nan
21|21|RDV_STRATEGIE_BELLES_STATUES|RDV_STRATEGIE_BELLES_STATUES|Belles statues ( sex )|Belles statues ( sex )|Prescription|prescription|nan|nan|nan|nan|Notamment pour le déficit d’érection avant la pénétration|Notamment pour le déficit d’érection avant la pénétration|L’objectif est de créer une frustration et de jouer sur l’élan que les personnes vont avoir de vouloir aller plus loin. Il s’agit de « tenir les rennes courtes alors que le cheval s’emballe ».|L’objectif est de créer une frustration et de jouer sur l’élan que les personnes vont avoir de vouloir aller plus loin. Il s’agit de « tenir les rennes courtes alors que le cheval s’emballe ».|La prescription que l’on utilise pour bloquer la TDS fondamentale varie selon que la femme sait ou ne sait pas, est disponible ou ne l’est pas. Si la femme n’est pas en thérapie mais est disponible et collaborante, on peut utiliser la prescription des belles statues, mais au lieu de faire au centimètre, on la fait en augmentant le temps de contact, le temps pendant lequel les partenaires doivent rester totalement immobiles, les organes génitaux en contact. Le temps de contact augmente ensuite d’une minute chaque fois.Lorsque la femme est collaborante ou peut être mobilisée, on va adapter la prescription des « belles statues ». Au lieu de rallonger les centimètres de pénétration, on va augmenter le temps pendant lequel les partenaires doivent rester en contact mais immobiles. La première fois quand vous avez votre rencontre érotique vous vous arrêtez au milieu de la passion,Vous restez immobile les organes génitaux toujours en contact, pendant 5 mnPuis vous vous retirez.A la séance 2, on augmentera le temps d’immobilité à 6 mn, puis 7 mn…La prescription fonctionne très bien, notamment en cas de déficit d’érection avant la pénétration.|La prescription que l’on utilise pour bloquer la TDS fondamentale varie selon que la femme sait ou ne sait pas, est disponible ou ne l’est pas. Si la femme n’est pas en thérapie mais est disponible et collaborante, on peut utiliser la prescription des belles statues, mais au lieu de faire au centimètre, on la fait en augmentant le temps de contact, le temps pendant lequel les partenaires doivent rester totalement immobiles, les organes génitaux en contact. Le temps de contact augmente ensuite d’une minute chaque fois.Lorsque la femme est collaborante ou peut être mobilisée, on va adapter la prescription des « belles statues ». Au lieu de rallonger les centimètres de pénétration, on va augmenter le temps pendant lequel les partenaires doivent rester en contact mais immobiles. La première fois quand vous avez votre rencontre érotique vous vous arrêtez au milieu de la passion,Vous restez immobile les organes génitaux toujours en contact, pendant 5 mnPuis vous vous retirez.A la séance 2, on augmentera le temps d’immobilité à 6 mn, puis 7 mn…La prescription fonctionne très bien, notamment en cas de déficit d’érection avant la pénétration.|Giorgio Nardone|Giorgio Nardone
